,AFLfantasy,Supercoach,behinds,disposals,freesAgainst,freesFor,gameID,goals,handballs,hitouts,homeAway,i50s,kicks,marks,name,tackles
43823,42,47,0,5,3,0,6085,0,3,31,Away,2,2,0,Dawson Simpson,2
43824,152,127,0,36,0,1,6086,3,9,0,Home,10,27,6,Andrew Gaff,4
43825,136,128,0,35,0,1,6086,1,20,0,Home,5,15,4,Matthew Priddis,8
43826,108,104,0,33,0,1,6086,1,19,0,Home,6,14,7,Chris Masten,0
43827,103,98,0,31,3,2,6086,2,19,0,Home,5,12,4,Luke Shuey,3
43828,92,78,0,28,0,2,6086,0,15,0,Home,4,13,7,Matthew Rosa,0
43829,126,96,2,26,0,0,6086,1,11,0,Home,10,15,9,Jamie Cripps,6
43830,106,129,0,26,0,0,6086,3,13,0,Home,5,13,5,Elliot Yeo,2
43831,98,95,1,26,0,2,6086,1,14,0,Home,8,12,3,Dominic Sheed,4
43832,100,104,2,23,2,0,6086,2,9,0,Home,1,14,8,Mark Lecras,2
43833,86,108,1,23,0,2,6086,1,17,0,Home,1,6,3,Scott Selwood,4
43834,114,132,0,19,0,2,6086,0,12,39,Home,4,7,4,Nicholas Naitanui,4
43835,76,71,1,18,0,0,6086,0,3,0,Home,3,15,8,Shannon Hurn,0
43836,65,62,0,17,0,0,6086,0,5,0,Home,1,12,5,Xavier Ellis,1
43837,68,72,1,17,0,1,6086,0,8,0,Home,2,9,5,Bradley Sheppard,2
43838,63,69,0,16,0,1,6086,0,8,0,Home,0,8,6,Jeremy McGovern,1
43839,54,65,0,15,0,0,6086,1,3,0,Home,2,12,2,Sharrod Wellingham,0
43840,80,49,2,14,0,0,6086,2,3,0,Home,2,11,5,Josh Hill,3
43841,67,51,1,14,2,0,6086,0,7,18,Home,3,7,5,Callum Sinclair,1
43842,55,58,0,12,0,1,6086,0,3,0,Home,0,9,7,Will Schofield,0
43843,68,72,2,9,0,0,6086,2,4,0,Home,0,5,5,Joshua Kennedy,4
43844,59,70,0,9,0,1,6086,2,3,0,Home,1,6,6,Jack Darling,1
43845,18,12,0,6,0,0,6086,0,4,0,Home,0,2,0,Mark Hutchings,1
43846,142,156,0,36,0,1,6086,0,18,1,Away,5,18,6,Patrick Dangerfield,8
43847,107,88,0,31,0,1,6086,0,16,0,Away,2,15,7,Rory Laird,2
43848,94,99,0,28,0,0,6086,0,16,0,Away,2,12,2,Matt Crouch,5
43849,80,69,0,20,0,2,6086,1,8,0,Away,0,12,4,Brodie Smith,2
43850,66,74,1,19,2,0,6086,0,9,0,Away,4,10,1,Richard Douglas,5
43851,56,46,0,18,4,1,6086,0,13,1,Away,1,5,3,Scott Thompson,4
43852,71,79,0,18,1,0,6086,0,5,0,Away,1,13,7,Ricky Henderson,1
43853,83,64,0,17,1,0,6086,0,1,0,Away,0,16,8,Jake Lever,3
