,awayline,awayodds,awayteam,date,gameID,homeline,homeodds,hometeam,round,time
211,30.5,4.45,North Melbourne,2011-08-07,5300,-30.5,1.21,Hawthorn,20,2:10PM
212,42.5,7.5,Richmond,2011-08-07,5301,-42.5,1.09,West Coast,20,2:40PM
213,-37.5,1.12,Collingwood,2011-08-12,5302,37.5,6.35,St Kilda,21,7:40PM
214,78.5,16.65,Port Adelaide,2011-08-13,5303,-78.5,1.01,Hawthorn,21,2:10PM
215,-17.5,1.39,Carlton,2011-08-13,5304,17.5,3.0,Fremantle,21,1:10PM
216,-7.5,1.65,Essendon,2011-08-13,5305,7.5,2.3,Western Bulldogs,21,7:10PM
217,18.5,3.15,Gold Coast,2011-08-13,5306,-18.5,1.38,Brisbane,21,7:10PM
218,-26.5,1.23,West Coast,2011-08-14,5307,26.5,4.2,Melbourne,21,1:10PM
219,-20.5,1.3,Sydney,2011-08-14,5308,20.5,3.55,Richmond,21,2:10PM
220,-50.5,1.05,Geelong,2011-08-14,5309,50.5,10.2,Adelaide,21,4:10PM
221,-7.5,1.65,Hawthorn,2011-08-19,5310,7.5,2.25,Carlton,22,7:40PM
222,-34.5,1.18,Adelaide,2011-08-20,5311,34.5,4.9,Gold Coast,22,2:10PM
223,26.5,4.1,Essendon,2011-08-20,5312,-26.5,1.24,West Coast,22,1:10PM
224,19.5,3.2,Fremantle,2011-08-20,5313,-19.5,1.37,North Melbourne,22,7:10PM
225,81.5,20.0,Brisbane,2011-08-20,5314,-81.5,1.01,Collingwood,22,7:10PM
226,-8.5,1.68,St Kilda,2011-08-21,5315,8.5,2.19,Sydney,22,1:10PM
227,-32.5,1.19,Western Bulldogs,2011-08-21,5316,32.5,4.75,Port Adelaide,22,2:40PM
228,-4.5,1.76,Richmond,2011-08-21,5317,4.5,2.07,Melbourne,22,4:40PM
229,-71.5,1.03,Collingwood,2011-08-26,5318,71.5,14.45,Fremantle,23,6:40PM
230,42.5,7.05,Western Bulldogs,2011-08-27,5319,-42.5,1.1,Hawthorn,23,2:10PM
231,46.5,8.65,Sydney,2011-08-27,5320,-46.5,1.07,Geelong,23,2:10PM
232,4.5,2.13,North Melbourne,2011-08-27,5321,-4.5,1.75,St Kilda,23,7:10PM
233,-20.5,1.3,West Coast,2011-08-27,5322,20.5,3.65,Brisbane,23,7:10PM
234,18.5,3.1,Richmond,2011-08-28,5323,-18.5,1.37,Adelaide,23,12:40PM
235,45.5,6.7,Gold Coast,2011-08-28,5324,-45.5,1.11,Melbourne,23,2:10PM
236,70.5,16.65,Port Adelaide,2011-08-28,5325,-70.5,1.01,Essendon,23,4:40PM
237,46.5,8.05,Fremantle,2011-09-03,5326,-46.5,1.08,Western Bulldogs,24,2:10PM
238,-32.5,1.18,Hawthorn,2011-09-03,5327,32.5,4.9,Gold Coast,24,1:10PM
239,35.5,5.75,Brisbane,2011-09-03,5328,-35.5,1.14,Sydney,24,4:10PM
240,5.5,2.14,St Kilda,2011-09-03,5329,-5.5,1.74,Carlton,24,7:10PM
241,-8.5,1.63,North Melbourne,2011-09-04,5330,8.5,2.29,Richmond,24,4:40PM
242,20.5,3.45,Geelong,2011-09-02,5331,-20.5,1.31,Collingwood,24,7:40PM
243,-6.5,1.72,Melbourne,2011-09-04,5332,6.5,2.13,Port Adelaide,24,2:40PM
244,35.5,6.45,Adelaide,2011-09-03,5333,-35.5,1.13,West Coast,24,5:10PM
245,6.5,2.19,Hawthorn,2011-09-09,5334,-6.5,1.68,Geelong,Final,7:45PM
246,30.5,4.75,West Coast,2011-09-10,5335,-30.5,1.19,Collingwood,Final,2:20PM
247,17.5,3.1,Sydney,2011-09-10,5336,-17.5,1.37,St Kilda,Final,7:20PM
248,18.5,3.15,Essendon,2011-09-11,5337,-18.5,1.36,Carlton,Final,2:40PM
249,14.5,2.77,Sydney,2011-09-16,5338,-14.5,1.45,Hawthorn,Final,7:45PM
250,16.5,2.85,Carlton,2011-09-17,5339,-16.5,1.43,West Coast,Final,5:50PM
251,23.5,3.7,Hawthorn,2011-09-23,5340,-23.5,1.28,Collingwood,Final,7:45PM
252,28.5,4.2,West Coast,2011-09-24,5341,-28.5,1.23,Geelong,Final,2:20PM
253,-2.5,1.8,Geelong,2011-10-01,5342,2.5,2.06,Collingwood,Final,2:30PM
254,-88.5,1.01,Sydney,2012-03-24,5343,88.5,26.0,GWS,1,7:20PM
255,-13.5,1.55,Carlton,2012-03-29,5344,13.5,2.57,Richmond,1,7:40PM
256,7.5,2.32,Collingwood,2012-03-30,5345,-7.5,1.65,Hawthorn,1,7:50PM
257,15.5,2.9,Brisbane,2012-03-31,5346,-15.5,1.45,Melbourne,1,1:40PM
258,-27.5,1.22,Adelaide,2012-03-31,5347,27.5,4.6,Gold Coast,1,3:40PM
259,-6.5,1.72,Geelong,2012-03-31,5348,6.5,2.2,Fremantle,1,4:40PM
260,-3.5,1.8,Essendon,2012-03-31,5349,3.5,2.1,North Melbourne,1,7:40PM
261,-8.5,1.65,West Coast,2012-04-01,5350,8.5,2.32,Western Bulldogs,1,1:10PM
262,-17.5,1.4,St Kilda,2012-04-01,5351,17.5,3.05,Port Adelaide,1,4:10PM
263,-20.5,1.3,Carlton,2012-04-05,5352,20.5,3.5,Brisbane,2,7:40PM
264,25.5,4.35,Port Adelaide,2012-04-07,5353,-25.5,1.24,Essendon,2,1:45PM
265,6.5,2.3,Fremantle,2012-04-07,5354,-6.5,1.67,Sydney,2,2:10PM
266,53.5,12.0,Melbourne,2012-04-07,5355,-53.5,1.05,West Coast,2,2:40PM
267,28.5,4.25,Western Bulldogs,2012-04-07,5356,-28.5,1.25,Adelaide,2,7:10PM
268,34.5,6.35,Richmond,2012-04-07,5357,-34.5,1.14,Collingwood,2,7:40PM
269,76.5,19.0,GWS,2012-04-08,5358,-76.5,1.02,North Melbourne,2,1:10PM
270,52.5,11.0,Gold Coast,2012-04-08,5359,-52.5,1.06,St Kilda,2,4:40PM
271,-12.5,1.55,Hawthorn,2012-04-09,5360,12.5,2.5,Geelong,2,3:10PM
272,3.5,2.05,Collingwood,2012-04-13,5361,-3.5,1.8,Carlton,3,7:50PM
273,30.5,5.0,Melbourne,2012-04-14,5362,-30.5,1.17,Richmond,3,1:45PM
274,-13.5,1.47,Sydney,2012-04-14,5363,13.5,2.67,Port Adelaide,3,1:40PM
275,44.5,8.0,Brisbane,2012-04-14,5364,-44.5,1.08,Fremantle,3,2:40PM
